dataset_name,before_fix_global_accuracy,new_global_accuracy,valid_global_data_size,runtimes
agnews,0.5437,0.7255166666666667,40276,"{'snorkel_first_run': 16.492344856262207, 'snorkel_run_after_fix': 41.202213525772095, 'solver_runtime': 0.5797452926635742, 'repair_time': 1.067986249923706}"
agnews,0.5437,0.5964333333333334,40276,"{'snorkel_first_run': 16.870025634765625, 'snorkel_run_after_fix': 48.16619944572449, 'solver_runtime': 0.5794689655303955, 'repair_time': 1.2959246635437012}"
agnews,0.5437,0.5217666666666667,40276,"{'snorkel_first_run': 16.856470346450806, 'snorkel_run_after_fix': 32.40773963928223, 'solver_runtime': 0.7196030616760254, 'repair_time': 0.9288101196289062}"
agnews,0.5437,0.6421333333333333,40276,"{'snorkel_first_run': 16.93486762046814, 'snorkel_run_after_fix': 29.37043070793152, 'solver_runtime': 0.6328480243682861, 'repair_time': 0.8813283443450928}"
agnews,0.5437,0.5985833333333334,40276,"{'snorkel_first_run': 17.005545616149902, 'snorkel_run_after_fix': 47.671645641326904, 'solver_runtime': 0.8563532829284668, 'repair_time': 1.7500190734863281}"
agnews,0.5437,0.6011666666666666,40276,"{'snorkel_first_run': 17.033597707748413, 'snorkel_run_after_fix': 34.16473412513733, 'solver_runtime': 0.7862522602081299, 'repair_time': 1.2868402004241943}"
agnews,0.5437,0.5878666666666666,40276,"{'snorkel_first_run': 23.21177339553833, 'snorkel_run_after_fix': 46.19990277290344, 'solver_runtime': 1.2530903816223145, 'repair_time': 0.958582878112793}"
agnews,0.5437,0.5270666666666667,40276,"{'snorkel_first_run': 16.59070873260498, 'snorkel_run_after_fix': 34.33335328102112, 'solver_runtime': 0.9321866035461426, 'repair_time': 1.2204070091247559}"
agnews,0.5437,0.66335,40276,"{'snorkel_first_run': 17.2853102684021, 'snorkel_run_after_fix': 30.370158910751343, 'solver_runtime': 0.8567395210266113, 'repair_time': 0.9964942932128906}"
agnews,0.5437,0.65525,40276,"{'snorkel_first_run': 17.173089742660522, 'snorkel_run_after_fix': 33.804402112960815, 'solver_runtime': 0.8555202484130859, 'repair_time': 1.040489912033081}"
agnews,0.5437,0.52915,40276,"{'snorkel_first_run': 17.247227907180786, 'snorkel_run_after_fix': 33.67473363876343, 'solver_runtime': 0.9268290996551514, 'repair_time': 1.0363366603851318}"
agnews,0.5437,0.68265,40276,"{'snorkel_first_run': 17.043804168701172, 'snorkel_run_after_fix': 31.125555515289307, 'solver_runtime': 0.6175384521484375, 'repair_time': 1.3679702281951904}"
agnews,0.5437,0.6035333333333334,40276,"{'snorkel_first_run': 18.420902729034424, 'snorkel_run_after_fix': 36.18597340583801, 'solver_runtime': 0.7320201396942139, 'repair_time': 1.2704277038574219}"
agnews,0.5437,0.5629,40276,"{'snorkel_first_run': 17.04806113243103, 'snorkel_run_after_fix': 32.39617156982422, 'solver_runtime': 0.7685976028442383, 'repair_time': 0.9918849468231201}"
agnews,0.5437,0.5107833333333334,40276,"{'snorkel_first_run': 17.248537302017212, 'snorkel_run_after_fix': 34.61248588562012, 'solver_runtime': 0.7987840175628662, 'repair_time': 0.9436445236206055}"
agnews,0.5437,0.64855,40276,"{'snorkel_first_run': 23.576181411743164, 'snorkel_run_after_fix': 50.217703342437744, 'solver_runtime': 1.4158709049224854, 'repair_time': 5.543812990188599}"
agnews,0.5437,0.5816,40276,"{'snorkel_first_run': 17.881889820098877, 'snorkel_run_after_fix': 59.81492853164673, 'solver_runtime': 1.5972869396209717, 'repair_time': 7.733010292053223}"
agnews,0.5437,0.6575333333333333,40276,"{'snorkel_first_run': 17.653141021728516, 'snorkel_run_after_fix': 46.352476835250854, 'solver_runtime': 1.638627052307129, 'repair_time': 5.793734550476074}"
agnews,0.5437,0.6297833333333334,40276,"{'snorkel_first_run': 18.27227759361267, 'snorkel_run_after_fix': 47.09611892700195, 'solver_runtime': 1.6501538753509521, 'repair_time': 5.508772850036621}"
agnews,0.5437,0.6221166666666667,40276,"{'snorkel_first_run': 17.290926456451416, 'snorkel_run_after_fix': 43.3761773109436, 'solver_runtime': 1.6475729942321777, 'repair_time': 5.365118741989136}"
agnews,0.5437,0.6375666666666666,40276,"{'snorkel_first_run': 149.00882148742676, 'snorkel_run_after_fix': 221.03956580162048, 'solver_runtime': 2.3418946266174316, 'repair_time': 13.619638681411743}"
agnews,0.5437,0.5775666666666667,40276,"{'snorkel_first_run': 163.38500332832336, 'snorkel_run_after_fix': 217.8253571987152, 'solver_runtime': 3.446528911590576, 'repair_time': 10.385576009750366}"
agnews,0.5437,0.7028333333333333,40276,"{'snorkel_first_run': 17.106882095336914, 'snorkel_run_after_fix': 45.71952986717224, 'solver_runtime': 1.4138047695159912, 'repair_time': 5.882897138595581}"
agnews,0.5437,0.6612833333333333,40276,"{'snorkel_first_run': 23.82436990737915, 'snorkel_run_after_fix': 41.067631244659424, 'solver_runtime': 1.504882574081421, 'repair_time': 5.028382778167725}"
agnews,0.5437,0.6697833333333333,40276,"{'snorkel_first_run': 16.806668043136597, 'snorkel_run_after_fix': 49.49746370315552, 'solver_runtime': 1.6277081966400146, 'repair_time': 7.789999485015869}"
agnews,0.5437,0.6488833333333334,40276,"{'snorkel_first_run': 17.39507555961609, 'snorkel_run_after_fix': 42.990017890930176, 'solver_runtime': 1.5856542587280273, 'repair_time': 8.700911045074463}"
agnews,0.5437,0.5710166666666666,40276,"{'snorkel_first_run': 23.92325735092163, 'snorkel_run_after_fix': 47.82423543930054, 'solver_runtime': 1.5836498737335205, 'repair_time': 6.393090009689331}"
agnews,0.5437,0.6686833333333333,40276,"{'snorkel_first_run': 17.463440656661987, 'snorkel_run_after_fix': 52.23187613487244, 'solver_runtime': 2.769960403442383, 'repair_time': 24.893205881118774}"
agnews,0.5437,0.6686833333333333,40276,"{'snorkel_first_run': 16.68862223625183, 'snorkel_run_after_fix': 50.09469199180603, 'solver_runtime': 2.7751119136810303, 'repair_time': 24.203267574310303}"
agnews,0.5437,0.6686833333333333,40276,"{'snorkel_first_run': 17.08480668067932, 'snorkel_run_after_fix': 65.51367163658142, 'solver_runtime': 2.784787178039551, 'repair_time': 24.892990350723267}"
agnews,0.5437,0.6272166666666666,40276,"{'snorkel_first_run': 23.35596203804016, 'snorkel_run_after_fix': 74.40364837646484, 'solver_runtime': 4.141069650650024, 'repair_time': 29.679768085479736}"
agnews,0.5437,0.6272166666666666,40276,"{'snorkel_first_run': 17.005860805511475, 'snorkel_run_after_fix': 55.1081817150116, 'solver_runtime': 4.103417873382568, 'repair_time': 29.504590272903442}"
agnews,0.5437,0.7019,40276,"{'snorkel_first_run': 16.99158477783203, 'snorkel_run_after_fix': 56.55578923225403, 'solver_runtime': 3.853394031524658, 'repair_time': 31.498363494873047}"
agnews,0.5437,0.6489833333333334,40276,"{'snorkel_first_run': 138.31958651542664, 'snorkel_run_after_fix': 235.71630716323853, 'solver_runtime': 4.619430303573608, 'repair_time': 85.9816427230835}"
agnews,0.5437,0.6748166666666666,40276,"{'snorkel_first_run': 135.9593062400818, 'snorkel_run_after_fix': 218.1853528022766, 'solver_runtime': 4.682047128677368, 'repair_time': 61.78807759284973}"
agnews,0.5437,0.6600333333333334,40276,"{'snorkel_first_run': 221.80108428001404, 'snorkel_run_after_fix': 382.246826171875, 'solver_runtime': 7.069828748703003, 'repair_time': 94.50042986869812}"
agnews,0.5437,0.6984833333333333,40276,"{'snorkel_first_run': 17.58401870727539, 'snorkel_run_after_fix': 54.038813829422, 'solver_runtime': 3.896347761154175, 'repair_time': 28.224159002304077}"
agnews,0.5437,0.668,40276,"{'snorkel_first_run': 17.56053590774536, 'snorkel_run_after_fix': 59.74255061149597, 'solver_runtime': 3.089299201965332, 'repair_time': 30.759846210479736}"
agnews,0.5437,0.6395833333333333,40276,"{'snorkel_first_run': 16.941474199295044, 'snorkel_run_after_fix': 70.56253027915955, 'solver_runtime': 3.855180501937866, 'repair_time': 40.437559843063354}"
agnews,0.5437,0.6754833333333333,40276,"{'snorkel_first_run': 151.16868209838867, 'snorkel_run_after_fix': 237.71281599998474, 'solver_runtime': 4.520851373672485, 'repair_time': 62.45952224731445}"
agnews,0.5437,0.6940666666666667,40276,"{'snorkel_first_run': 136.26353430747986, 'snorkel_run_after_fix': 304.52720737457275, 'solver_runtime': 5.115008354187012, 'repair_time': 77.99908638000488}"
agnews,0.5437,0.6811,40276,"{'snorkel_first_run': 17.094165086746216, 'snorkel_run_after_fix': 55.138468980789185, 'solver_runtime': 5.039993524551392, 'repair_time': 38.53200888633728}"
agnews,0.5437,0.6404166666666666,40276,"{'snorkel_first_run': 16.84753441810608, 'snorkel_run_after_fix': 60.34130358695984, 'solver_runtime': 5.105103015899658, 'repair_time': 87.16587471961975}"
agnews,0.5437,0.6979333333333333,40276,"{'snorkel_first_run': 16.872454404830933, 'snorkel_run_after_fix': 79.21114230155945, 'solver_runtime': 8.301795721054077, 'repair_time': 132.06289434432983}"
amazon,0.5963795962743811,0.7722141779939977,188660,"{'snorkel_first_run': 158.9930317401886, 'snorkel_run_after_fix': 224.1030387878418, 'solver_runtime': 1.5267589092254639, 'repair_time': 2.754462242126465}"
amazon,0.5963795962743811,0.7547835323236017,188660,"{'snorkel_first_run': 159.7295000553131, 'snorkel_run_after_fix': 256.23159885406494, 'solver_runtime': 141.94244170188904, 'repair_time': 1.9611365795135498}"
amazon,0.5963795962743811,0.7491219543967413,188660,"{'snorkel_first_run': 161.1993706226349, 'snorkel_run_after_fix': 234.38303923606873, 'solver_runtime': 1.0814809799194336, 'repair_time': 2.0691850185394287}"
amazon,0.5963795962743811,0.6476744943409272,188660,"{'snorkel_first_run': 159.65873217582703, 'snorkel_run_after_fix': 299.04052901268005, 'solver_runtime': 1.926400899887085, 'repair_time': 1.6882977485656738}"
amazon,0.5963795962743811,0.7368568723038614,188660,"{'snorkel_first_run': 222.7262568473816, 'snorkel_run_after_fix': 331.408570766449, 'solver_runtime': 1.7069940567016602, 'repair_time': 2.8792762756347656}"
amazon,0.5963795962743811,0.679093746712026,188660,"{'snorkel_first_run': 159.76610851287842, 'snorkel_run_after_fix': 250.02308797836304, 'solver_runtime': 3.9310691356658936, 'repair_time': 3.887450695037842}"
amazon,0.5963795962743811,0.7537714626411011,188660,"{'snorkel_first_run': 159.85939812660217, 'snorkel_run_after_fix': 231.34223556518555, 'solver_runtime': 2.54830002784729, 'repair_time': 2.3243072032928467}"
amazon,0.5963795962743811,0.6154185308956817,188660,"{'snorkel_first_run': 204.9530520439148, 'snorkel_run_after_fix': 242.00215339660645, 'solver_runtime': 1.3041679859161377, 'repair_time': 1.5912165641784668}"
amazon,0.5963795962743811,0.5815993707131083,188660,"{'snorkel_first_run': 160.17956471443176, 'snorkel_run_after_fix': 274.9374203681946, 'solver_runtime': 1.6200222969055176, 'repair_time': 5.187777996063232}"
amazon,0.5963795962743811,0.6478298119654694,188660,"{'snorkel_first_run': 159.7372362613678, 'snorkel_run_after_fix': 235.36016130447388, 'solver_runtime': 1.772437334060669, 'repair_time': 1.6460013389587402}"
amazon,0.5963795962743811,0.7462711244494993,188660,"{'snorkel_first_run': 173.1768443584442, 'snorkel_run_after_fix': 271.90666151046753, 'solver_runtime': 43.942901849746704, 'repair_time': 9.381823539733887}"
amazon,0.5963795962743811,0.7667329689214444,188660,"{'snorkel_first_run': 159.45494651794434, 'snorkel_run_after_fix': 273.3302285671234, 'solver_runtime': 5.068544149398804, 'repair_time': 9.115937232971191}"
amazon,0.5963795962743811,0.663406666633265,188660,"{'snorkel_first_run': 159.73800921440125, 'snorkel_run_after_fix': 300.14979553222656, 'solver_runtime': 17.209489583969116, 'repair_time': 15.909620523452759}"
amazon,0.5963795962743811,0.6886482857443472,188660,"{'snorkel_first_run': 163.51963758468628, 'snorkel_run_after_fix': 265.8899755477905, 'solver_runtime': 91.27820777893066, 'repair_time': 9.556912183761597}"
amazon,0.5963795962743811,0.7875655715939095,188660,"{'snorkel_first_run': 159.77885484695435, 'snorkel_run_after_fix': 299.4443130493164, 'solver_runtime': 3.6633291244506836, 'repair_time': 11.761665344238281}"
