dataset_name,before_fix_global_accuracy,new_global_accuracy,user_input_size,repair_time,min_non_abstain_thresh,random_state,confirm_prev_rate,complain_fix_rate,global_accuracy_on_valid_data,new_global_accuracy_on_valid,valid_global_data_size,new_valid_global_data_size,runtimes,optimal_objective_value,avg_tree_depth,tree_cnt_after_fix,avg_tree_size,runtime_total,lf_acc_thresh,instance_acc_thresh
agnews,0.5437,0.64855,40,5.543812990188599,0.8,1,1.0,1.0,0.8099612672559341,0.64855,40276,60000,"{'snorkel_first_run': 23.576181411743164, 'snorkel_run_after_fix': 50.217703342437744, 'solver_runtime': 1.4158709049224854, 'repair_time': 5.543812990188599}",257.0,9.0,9,20.77777777777778,80.75356864929199,0.7,0.8
agnews,0.5437,0.5816,40,7.733010292053223,0.8,2,1.0,0.95,0.8099612672559341,0.5816,40276,60000,"{'snorkel_first_run': 17.881889820098877, 'snorkel_run_after_fix': 59.81492853164673, 'solver_runtime': 1.5972869396209717, 'repair_time': 7.733010292053223}",254.0,9.444444444444445,9,21.22222222222222,87.0271155834198,0.7,0.8
agnews,0.5437,0.6575333333333333,40,5.793734550476074,0.8,3,1.0,1.0,0.8099612672559341,0.6575333333333333,40276,60000,"{'snorkel_first_run': 17.653141021728516, 'snorkel_run_after_fix': 46.352476835250854, 'solver_runtime': 1.638627052307129, 'repair_time': 5.793734550476074}",262.0,9.666666666666666,9,21.88888888888889,71.43797945976257,0.7,0.8
agnews,0.5437,0.6297833333333334,40,5.508772850036621,0.8,4,0.95,1.0,0.8099612672559341,0.6297833333333334,40276,60000,"{'snorkel_first_run': 18.27227759361267, 'snorkel_run_after_fix': 47.09611892700195, 'solver_runtime': 1.6501538753509521, 'repair_time': 5.508772850036621}",256.0,7.333333333333333,9,14.555555555555555,72.5273232460022,0.7,0.8
agnews,0.5437,0.6221166666666667,40,5.365118741989136,0.8,5,1.0,1.0,0.8099612672559341,0.6221166666666667,40276,60000,"{'snorkel_first_run': 17.290926456451416, 'snorkel_run_after_fix': 43.3761773109436, 'solver_runtime': 1.6475729942321777, 'repair_time': 5.365118741989136}",265.0,9.444444444444445,9,21.22222222222222,67.67979550361633,0.7,0.8
agnews,0.5437,0.6375666666666666,40,13.619638681411743,0.8,6,1.0,1.0,0.8099612672559341,0.6375666666666666,40276,60000,"{'snorkel_first_run': 149.00882148742676, 'snorkel_run_after_fix': 221.03956580162048, 'solver_runtime': 2.3418946266174316, 'repair_time': 13.619638681411743}",264.0,9.22222222222222,9,21.0,386.0099205970764,0.7,0.8
agnews,0.5437,0.5775666666666667,40,10.385576009750366,0.8,7,1.0,1.0,0.8099612672559341,0.5775666666666667,40276,60000,"{'snorkel_first_run': 163.38500332832336, 'snorkel_run_after_fix': 217.8253571987152, 'solver_runtime': 3.446528911590576, 'repair_time': 10.385576009750366}",259.0,9.22222222222222,9,21.0,395.0424654483795,0.7,0.8
agnews,0.5437,0.7028333333333333,40,5.882897138595581,0.8,11,1.0,1.0,0.8099612672559341,0.7028333333333333,40276,60000,"{'snorkel_first_run': 17.106882095336914, 'snorkel_run_after_fix': 45.71952986717224, 'solver_runtime': 1.4138047695159912, 'repair_time': 5.882897138595581}",262.0,9.666666666666666,9,22.11111111111111,70.12311387062073,0.7,0.8
agnews,0.5437,0.6612833333333333,40,5.028382778167725,0.8,12,0.9,1.0,0.8099612672559341,0.6612833333333333,40276,60000,"{'snorkel_first_run': 23.82436990737915, 'snorkel_run_after_fix': 41.067631244659424, 'solver_runtime': 1.504882574081421, 'repair_time': 5.028382778167725}",265.0,7.888888888888889,9,18.55555555555556,71.42526650428772,0.7,0.8
agnews,0.5437,0.6697833333333333,40,7.789999485015869,0.8,13,0.9,0.85,0.8099612672559341,0.6697833333333333,40276,60000,"{'snorkel_first_run': 16.806668043136597, 'snorkel_run_after_fix': 49.49746370315552, 'solver_runtime': 1.6277081966400146, 'repair_time': 7.789999485015869}",267.0,10.444444444444445,9,21.22222222222222,75.721839427948,0.7,0.8
agnews,0.5437,0.6488833333333334,40,8.700911045074463,0.8,14,1.0,0.9,0.8099612672559341,0.6488833333333334,40276,60000,"{'snorkel_first_run': 17.39507555961609, 'snorkel_run_after_fix': 42.990017890930176, 'solver_runtime': 1.5856542587280273, 'repair_time': 8.700911045074463}",264.0,8.777777777777779,9,20.33333333333333,70.67165875434875,0.7,0.8
agnews,0.5437,0.5710166666666666,40,6.393090009689331,0.8,15,0.95,1.0,0.8099612672559341,0.5710166666666666,40276,60000,"{'snorkel_first_run': 23.92325735092163, 'snorkel_run_after_fix': 47.82423543930054, 'solver_runtime': 1.5836498737335205, 'repair_time': 6.393090009689331}",264.0,10.444444444444445,9,22.77777777777778,79.72423267364502,0.7,0.8
amazon,0.5963795962743811,0.7462711244494993,40,9.381823539733888,0.8,1,1.0,0.95,0.6309339552634369,0.7462711244494993,188660,199591,"{'snorkel_first_run': 173.1768443584442, 'snorkel_run_after_fix': 271.90666151046753, 'solver_runtime': 43.942901849746704, 'repair_time': 9.381823539733887}",352.0,9.266666666666667,15,22.6,498.40823125839233,0.7,0.8
amazon,0.5963795962743811,0.7667329689214444,40,9.115937232971191,0.8,2,1.0,0.95,0.6309339552634369,0.7667329689214444,188660,199591,"{'snorkel_first_run': 159.45494651794434, 'snorkel_run_after_fix': 273.3302285671234, 'solver_runtime': 5.068544149398804, 'repair_time': 9.115937232971191}",372.0,9.466666666666669,15,22.066666666666663,446.96965646743774,0.7,0.8
amazon,0.5963795962743811,0.663406666633265,40,15.90962052345276,0.8,3,0.95,0.9,0.6309339552634369,0.663406666633265,188660,199591,"{'snorkel_first_run': 159.73800921440125, 'snorkel_run_after_fix': 300.14979553222656, 'solver_runtime': 17.209489583969116, 'repair_time': 15.909620523452759}",374.0,10.0,15,22.066666666666663,493.0069148540497,0.7,0.8
amazon,0.5963795962743811,0.6886482857443472,40,9.556912183761597,0.8,4,1.0,0.95,0.6309339552634369,0.6886482857443472,188660,199591,"{'snorkel_first_run': 163.51963758468628, 'snorkel_run_after_fix': 265.8899755477905, 'solver_runtime': 91.27820777893066, 'repair_time': 9.556912183761597}",366.0,8.733333333333333,15,22.2,530.2447330951691,0.7,0.8
amazon,0.5963795962743811,0.7875655715939095,40,11.76166534423828,0.8,5,1.0,1.0,0.6309339552634369,0.7875655715939095,188660,199591,"{'snorkel_first_run': 159.77885484695435, 'snorkel_run_after_fix': 299.4443130493164, 'solver_runtime': 3.6633291244506836, 'repair_time': 11.761665344238281}",362.0,10.2,15,22.6,474.6481623649597,0.7,0.8
amazon,0.5963795962743811,0.7803558276675802,40,37.80212473869324,0.8,6,1.0,1.0,0.6309339552634369,0.7803558276675802,188660,199591,"{'snorkel_first_run': 522.3994128704071, 'snorkel_run_after_fix': 820.026937007904, 'solver_runtime': 8.426263809204102, 'repair_time': 37.80212473869324}",358.0,8.8,15,21.933333333333334,1388.6547384262085,0.7,0.8
amazon,0.5963795962743811,0.738830909209333,40,119.08015322685242,0.8,7,0.95,1.0,0.6309339552634369,0.738830909209333,188660,199591,"{'snorkel_first_run': 478.0424790382385, 'snorkel_run_after_fix': 769.4857699871063, 'solver_runtime': 5.188779592514038, 'repair_time': 119.08015322685242}",348.0,8.933333333333334,15,21.933333333333334,1371.7971818447113,0.7,0.8
fakenews,0.708314494981463,0.92051722578895,40,145.30495238304138,0.8,1,1.0,1.0,0.7382197719347846,0.92051722578895,42444,44236,"{'snorkel_first_run': 18.94699001312256, 'snorkel_run_after_fix': 32.24333715438843, 'solver_runtime': 1.9093279838562012, 'repair_time': 145.30495238304138}",278.0,5.909090909090909,11,13.545454545454543,198.40460753440857,0.7,0.8
fakenews,0.708314494981463,0.6612939687132652,40,262.68013548851013,0.8,2,1.0,0.95,0.7382197719347846,0.6612939687132652,42444,44236,"{'snorkel_first_run': 19.430596113204956, 'snorkel_run_after_fix': 45.273215770721436, 'solver_runtime': 2.335315465927124, 'repair_time': 262.68013548851013}",289.0,6.2727272727272725,11,15.181818181818182,329.71926283836365,0.7,0.8
fakenews,0.708314494981463,0.8039831811194502,40,126.10712480545044,0.8,3,1.0,1.0,0.7382197719347846,0.8039831811194502,42444,44236,"{'snorkel_first_run': 26.346468448638916, 'snorkel_run_after_fix': 47.79217171669006, 'solver_runtime': 2.9059700965881348, 'repair_time': 126.10712480545044}",304.0,6.2727272727272725,11,14.818181818181818,203.15173506736755,0.7,0.8
fakenews,0.708314494981463,0.7417035898363324,40,278.5122113227844,0.8,4,1.0,1.0,0.7382197719347846,0.7417035898363324,42444,44236,"{'snorkel_first_run': 19.351094722747803, 'snorkel_run_after_fix': 36.857455015182495, 'solver_runtime': 1.956817388534546, 'repair_time': 278.5122113227844}",287.0,7.181818181818182,11,17.545454545454547,336.67757844924927,0.7,0.8
fakenews,0.708314494981463,0.9417668866986164,40,144.33972096443176,0.8,5,1.0,1.0,0.7382197719347846,0.9417668866986164,42444,44236,"{'snorkel_first_run': 19.738895893096924, 'snorkel_run_after_fix': 32.78173637390137, 'solver_runtime': 4.234454393386841, 'repair_time': 144.33972096443176}",277.0,5.454545454545454,11,12.636363636363637,201.0948076248169,0.7,0.8
