explainer,num_s_with_A,num_s_not_with_A,num_result_A,num_resul_notA,score
"{'words': ['shakira', 'subscribe'], 'funcs': [func: keyword_shakira, func: regex_link, func: keyword_song, func: short_comment]}",1,370,1,182,0.508108108108108
"{'words': ['shakira', 'subscribe'], 'funcs': [func: keyword_my, func: regex_link, func: keyword_song, func: short_comment]}",1,370,1,182,0.508108108108108
"{'words': ['shakira', 'subscribe'], 'funcs': [func: keyword_shakira, func: keyword_my, func: keyword_subscribe, func: regex_link, func: short_comment]}",1,370,1,182,0.508108108108108
"{'words': ['shakira', 'subscribe'], 'funcs': [func: keyword_shakira, func: keyword_my, func: keyword_subscribe, func: keyword_song, func: short_comment]}",1,370,1,182,0.508108108108108
"{'words': ['shakira', 'subscribe'], 'funcs': [func: keyword_shakira, func: keyword_my, func: regex_link, func: keyword_song, func: short_comment]}",1,370,1,182,0.508108108108108
"{'words': ['shakira', 'subscribe'], 'funcs': [func: keyword_shakira, func: keyword_subscribe, func: regex_link, func: keyword_song, func: short_comment]}",1,370,1,182,0.508108108108108
"{'words': ['shakira', 'subscribe'], 'funcs': [func: keyword_shakira, func: keyword_my, func: keyword_subscribe, func: regex_link, func: keyword_song, func: short_comment]}",1,370,1,182,0.508108108108108
"{'words': ['shakira'], 'funcs': [func: keyword_shakira, func: keyword_my]}",40,331,37,145,0.48693353474320245
"{'words': ['shakira'], 'funcs': [func: keyword_shakira, func: keyword_my, func: short_comment]}",40,331,37,145,0.48693353474320245
"{'words': ['shakira'], 'funcs': [func: keyword_shakira, func: keyword_subscribe, func: regex_link]}",40,331,37,145,0.48693353474320245
"{'words': ['shakira'], 'funcs': [func: keyword_shakira, func: keyword_my, func: keyword_subscribe, func: keyword_song]}",40,331,37,145,0.48693353474320245
"{'words': ['shakira'], 'funcs': [func: keyword_shakira, func: keyword_my, func: keyword_subscribe, func: short_comment]}",40,331,37,145,0.48693353474320245
"{'words': ['shakira'], 'funcs': [func: keyword_shakira, func: keyword_my, func: keyword_subscribe, func: regex_link, func: keyword_song]}",40,331,37,145,0.48693353474320245
"{'words': ['shakira'], 'funcs': [func: keyword_shakira, func: keyword_my, func: keyword_subscribe]}",40,331,36,145,0.4619335347432024
"{'words': ['shakira'], 'funcs': [func: keyword_shakira, func: keyword_my, func: regex_link]}",40,331,35,145,0.4369335347432024
"{'words': ['shakira'], 'funcs': [func: keyword_shakira, func: keyword_my, func: regex_link, func: short_comment]}",40,331,35,145,0.4369335347432024
"{'words': ['shakira'], 'funcs': [func: keyword_shakira, func: keyword_my, func: keyword_subscribe, func: regex_link, func: short_comment]}",40,331,35,145,0.4369335347432024
"{'words': ['shakira'], 'funcs': [func: keyword_shakira, func: keyword_my, func: keyword_subscribe, func: regex_link]}",40,331,34,145,0.4119335347432024
"{'words': ['shakira'], 'funcs': [func: keyword_song, func: short_comment]}",40,331,26,145,0.21193353474320242
"{'words': ['shakira'], 'funcs': [func: keyword_my, func: keyword_song, func: short_comment]}",40,331,25,145,0.1869335347432024
"{'words': ['shakira'], 'funcs': [func: keyword_subscribe, func: keyword_song, func: short_comment]}",40,331,25,145,0.1869335347432024
"{'words': ['shakira'], 'funcs': [func: regex_link, func: keyword_song, func: short_comment]}",40,331,24,145,0.16193353474320238
"{'words': ['shakira'], 'funcs': [func: keyword_my, func: keyword_subscribe, func: keyword_song, func: short_comment]}",40,331,24,145,0.16193353474320238
"{'words': ['shakira'], 'funcs': [func: keyword_my, func: regex_link, func: keyword_song, func: short_comment]}",40,331,23,145,0.13693353474320236
"{'words': ['shakira'], 'funcs': [func: keyword_subscribe, func: regex_link, func: keyword_song, func: short_comment]}",40,331,23,145,0.13693353474320236
"{'words': ['shakira'], 'funcs': [func: keyword_my, func: keyword_subscribe, func: regex_link, func: keyword_song, func: short_comment]}",40,331,22,145,0.11193353474320245
"{'words': ['shakira'], 'funcs': [func: short_comment]}",40,331,17,145,-0.01306646525679761
"{'words': ['shakira'], 'funcs': [func: keyword_my, func: short_comment]}",40,331,17,145,-0.01306646525679761
"{'words': ['shakira'], 'funcs': [func: regex_link, func: short_comment]}",40,331,17,145,-0.01306646525679761
"{'words': ['shakira'], 'funcs': [func: keyword_my, func: regex_link, func: short_comment]}",40,331,17,145,-0.01306646525679761
"{'words': ['shakira'], 'funcs': [func: keyword_subscribe, func: short_comment]}",40,331,16,145,-0.03806646525679758
"{'words': ['shakira'], 'funcs': [func: keyword_my, func: keyword_subscribe, func: short_comment]}",40,331,16,145,-0.03806646525679758
"{'words': ['shakira'], 'funcs': [func: keyword_subscribe, func: regex_link, func: short_comment]}",40,331,16,145,-0.03806646525679758
"{'words': ['shakira'], 'funcs': [func: keyword_my, func: keyword_subscribe, func: regex_link, func: short_comment]}",40,331,16,145,-0.03806646525679758
"{'words': ['shakira'], 'funcs': [func: keyword_song]}",40,331,10,145,-0.1880664652567976
"{'words': ['shakira'], 'funcs': [func: keyword_subscribe, func: keyword_song]}",40,331,10,145,-0.1880664652567976
"{'words': ['shakira'], 'funcs': [func: keyword_my, func: keyword_song]}",40,331,9,145,-0.2130664652567976
"{'words': ['shakira'], 'funcs': [func: keyword_my, func: keyword_subscribe, func: keyword_song]}",40,331,9,145,-0.2130664652567976
"{'words': ['shakira'], 'funcs': [func: regex_link, func: keyword_song]}",40,331,8,145,-0.2380664652567976
"{'words': ['shakira'], 'funcs': [func: keyword_subscribe, func: regex_link, func: keyword_song]}",40,331,8,145,-0.2380664652567976
"{'words': ['shakira'], 'funcs': [func: keyword_my, func: regex_link, func: keyword_song]}",40,331,7,145,-0.2630664652567976
"{'words': ['shakira'], 'funcs': [func: keyword_my, func: keyword_subscribe, func: regex_link, func: keyword_song]}",40,331,7,145,-0.2630664652567976
