tid,attr_name,rules_left,portion_left
40,hours-per-week,10,0.5
247,hours-per-week,10,0.5
298,hours-per-week,10,0.5
395,hours-per-week,10,0.5
402,marital-status,6,0.3
0,native-country,6,0.3
11,native-country,6,0.3
17,native-country,6,0.3
54,native-country,6,0.3
66,native-country,6,0.3
75,native-country,6,0.3
91,native-country,6,0.3
101,native-country,6,0.3
105,native-country,6,0.3
131,native-country,6,0.3
136,native-country,6,0.3
146,native-country,6,0.3
151,native-country,6,0.3
156,native-country,6,0.3
158,native-country,6,0.3
170,native-country,6,0.3
185,native-country,6,0.3
190,native-country,6,0.3
206,native-country,6,0.3
211,native-country,6,0.3
227,native-country,6,0.3
250,native-country,6,0.3
253,native-country,6,0.3
268,native-country,6,0.3
279,native-country,6,0.3
296,native-country,6,0.3
298,native-country,6,0.3
310,native-country,6,0.3
332,native-country,6,0.3
334,native-country,6,0.3
339,native-country,6,0.3
342,native-country,6,0.3
358,native-country,6,0.3
359,native-country,6,0.3
372,native-country,6,0.3
389,native-country,6,0.3
422,native-country,6,0.3
433,native-country,6,0.3
443,native-country,6,0.3
456,native-country,6,0.3
461,native-country,6,0.3
464,native-country,6,0.3
468,native-country,6,0.3
21,race,9,0.45
37,race,9,0.45
43,race,9,0.45
68,race,9,0.45
74,race,9,0.45
94,race,9,0.45
105,race,9,0.45
108,race,9,0.45
113,race,9,0.45
114,race,9,0.45
124,race,9,0.45
129,race,9,0.45
153,race,9,0.45
169,race,9,0.45
171,race,9,0.45
172,race,9,0.45
174,race,9,0.45
175,race,9,0.45
178,race,9,0.45
189,race,9,0.45
191,race,9,0.45
196,race,9,0.45
204,race,9,0.45
211,race,9,0.45
212,race,9,0.45
213,race,9,0.45
244,race,9,0.45
253,race,9,0.45
255,race,9,0.45
259,race,9,0.45
264,race,9,0.45
268,race,9,0.45
279,race,9,0.45
281,race,9,0.45
286,race,9,0.45
287,race,9,0.45
291,race,9,0.45
303,race,9,0.45
305,race,9,0.45
334,race,9,0.45
339,race,9,0.45
347,race,9,0.45
350,race,9,0.45
353,race,9,0.45
357,race,9,0.45
372,race,9,0.45
392,race,9,0.45
415,race,9,0.45
419,race,9,0.45
422,race,9,0.45
443,race,9,0.45
456,race,9,0.45
458,race,9,0.45
461,race,9,0.45
462,race,9,0.45
467,race,9,0.45
473,race,9,0.45
487,race,9,0.45
492,race,9,0.45
494,race,9,0.45
5,workclass,7,0.35
19,workclass,7,0.35
30,workclass,7,0.35
33,workclass,7,0.35
42,workclass,7,0.35
45,workclass,7,0.35
48,workclass,7,0.35
53,workclass,7,0.35
57,workclass,7,0.35
61,workclass,7,0.35
67,workclass,7,0.35
70,workclass,7,0.35
76,workclass,7,0.35
77,workclass,7,0.35
79,workclass,7,0.35
81,workclass,7,0.35
94,workclass,7,0.35
102,workclass,7,0.35
108,workclass,7,0.35
111,workclass,7,0.35
112,workclass,7,0.35
116,workclass,7,0.35
119,workclass,7,0.35
128,workclass,7,0.35
140,workclass,7,0.35
141,workclass,7,0.35
148,workclass,7,0.35
161,workclass,7,0.35
163,workclass,7,0.35
178,workclass,7,0.35
179,workclass,7,0.35
187,workclass,7,0.35
202,workclass,7,0.35
206,workclass,7,0.35
208,workclass,7,0.35
219,workclass,7,0.35
230,workclass,7,0.35
233,workclass,7,0.35
240,workclass,7,0.35
252,workclass,7,0.35
257,workclass,7,0.35
258,workclass,7,0.35
265,workclass,7,0.35
266,workclass,7,0.35
268,workclass,7,0.35
286,workclass,7,0.35
295,workclass,7,0.35
298,workclass,7,0.35
299,workclass,7,0.35
305,workclass,7,0.35
308,workclass,7,0.35
315,workclass,7,0.35
331,workclass,7,0.35
334,workclass,7,0.35
344,workclass,7,0.35
348,workclass,7,0.35
357,workclass,7,0.35
389,workclass,7,0.35
390,workclass,7,0.35
406,workclass,7,0.35
413,workclass,7,0.35
419,workclass,7,0.35
420,workclass,7,0.35
421,workclass,7,0.35
422,workclass,7,0.35
430,workclass,7,0.35
431,workclass,7,0.35
433,workclass,7,0.35
436,workclass,7,0.35
438,workclass,7,0.35
443,workclass,7,0.35
444,workclass,7,0.35
449,workclass,7,0.35
450,workclass,7,0.35
453,workclass,7,0.35
459,workclass,7,0.35
460,workclass,7,0.35
461,workclass,7,0.35
480,workclass,7,0.35
486,workclass,7,0.35
487,workclass,7,0.35
494,workclass,7,0.35
499,workclass,7,0.35
