tid,attr_name,rules_left,portion_left
3,education,40,0.4
66,education,40,0.4
83,education,40,0.4
101,education,40,0.4
113,education,40,0.4
181,education,40,0.4
193,education,40,0.4
207,education,40,0.4
234,education,40,0.4
259,education,40,0.4
279,education,40,0.4
296,education,40,0.4
316,education,40,0.4
331,education,40,0.4
334,education,40,0.4
342,education,40,0.4
350,education,40,0.4
358,education,40,0.4
375,education,40,0.4
416,education,40,0.4
444,education,40,0.4
0,hours-per-week,38,0.38
1,hours-per-week,38,0.38
4,hours-per-week,38,0.38
10,hours-per-week,38,0.38
22,hours-per-week,38,0.38
24,hours-per-week,38,0.38
29,hours-per-week,38,0.38
31,hours-per-week,38,0.38
33,hours-per-week,38,0.38
35,hours-per-week,38,0.38
36,hours-per-week,38,0.38
40,hours-per-week,38,0.38
41,hours-per-week,38,0.38
42,hours-per-week,38,0.38
49,hours-per-week,38,0.38
50,hours-per-week,38,0.38
58,hours-per-week,38,0.38
59,hours-per-week,38,0.38
61,hours-per-week,38,0.38
65,hours-per-week,38,0.38
68,hours-per-week,38,0.38
73,hours-per-week,38,0.38
75,hours-per-week,38,0.38
79,hours-per-week,38,0.38
84,hours-per-week,38,0.38
89,hours-per-week,38,0.38
94,hours-per-week,38,0.38
96,hours-per-week,38,0.38
97,hours-per-week,38,0.38
102,hours-per-week,38,0.38
123,hours-per-week,38,0.38
142,hours-per-week,38,0.38
144,hours-per-week,38,0.38
146,hours-per-week,38,0.38
150,hours-per-week,38,0.38
152,hours-per-week,38,0.38
155,hours-per-week,38,0.38
158,hours-per-week,38,0.38
159,hours-per-week,38,0.38
162,hours-per-week,38,0.38
163,hours-per-week,38,0.38
164,hours-per-week,38,0.38
176,hours-per-week,38,0.38
177,hours-per-week,38,0.38
187,hours-per-week,38,0.38
194,hours-per-week,38,0.38
207,hours-per-week,38,0.38
214,hours-per-week,38,0.38
218,hours-per-week,38,0.38
219,hours-per-week,38,0.38
224,hours-per-week,38,0.38
227,hours-per-week,38,0.38
232,hours-per-week,38,0.38
233,hours-per-week,38,0.38
240,hours-per-week,38,0.38
246,hours-per-week,38,0.38
247,hours-per-week,38,0.38
252,hours-per-week,38,0.38
262,hours-per-week,38,0.38
263,hours-per-week,38,0.38
264,hours-per-week,38,0.38
267,hours-per-week,38,0.38
269,hours-per-week,38,0.38
271,hours-per-week,38,0.38
273,hours-per-week,38,0.38
274,hours-per-week,38,0.38
280,hours-per-week,38,0.38
295,hours-per-week,38,0.38
298,hours-per-week,38,0.38
301,hours-per-week,38,0.38
304,hours-per-week,38,0.38
314,hours-per-week,38,0.38
315,hours-per-week,38,0.38
320,hours-per-week,38,0.38
322,hours-per-week,38,0.38
323,hours-per-week,38,0.38
334,hours-per-week,38,0.38
340,hours-per-week,38,0.38
344,hours-per-week,38,0.38
349,hours-per-week,38,0.38
351,hours-per-week,38,0.38
