tid,attr_name,rules_left,portion_left
66,education,18,0.36
181,education,18,0.36
331,education,18,0.36
350,education,18,0.36
444,education,18,0.36
0,hours-per-week,22,0.44
1,hours-per-week,22,0.44
4,hours-per-week,22,0.44
10,hours-per-week,22,0.44
22,hours-per-week,22,0.44
24,hours-per-week,22,0.44
29,hours-per-week,22,0.44
31,hours-per-week,22,0.44
33,hours-per-week,22,0.44
35,hours-per-week,22,0.44
40,hours-per-week,22,0.44
41,hours-per-week,22,0.44
42,hours-per-week,22,0.44
49,hours-per-week,22,0.44
50,hours-per-week,22,0.44
58,hours-per-week,22,0.44
59,hours-per-week,22,0.44
61,hours-per-week,22,0.44
68,hours-per-week,22,0.44
73,hours-per-week,22,0.44
75,hours-per-week,22,0.44
79,hours-per-week,22,0.44
89,hours-per-week,22,0.44
94,hours-per-week,22,0.44
96,hours-per-week,22,0.44
97,hours-per-week,22,0.44
102,hours-per-week,22,0.44
123,hours-per-week,22,0.44
142,hours-per-week,22,0.44
144,hours-per-week,22,0.44
146,hours-per-week,22,0.44
150,hours-per-week,22,0.44
155,hours-per-week,22,0.44
159,hours-per-week,22,0.44
162,hours-per-week,22,0.44
163,hours-per-week,22,0.44
164,hours-per-week,22,0.44
176,hours-per-week,22,0.44
177,hours-per-week,22,0.44
187,hours-per-week,22,0.44
194,hours-per-week,22,0.44
207,hours-per-week,22,0.44
214,hours-per-week,22,0.44
218,hours-per-week,22,0.44
219,hours-per-week,22,0.44
224,hours-per-week,22,0.44
227,hours-per-week,22,0.44
233,hours-per-week,22,0.44
240,hours-per-week,22,0.44
246,hours-per-week,22,0.44
247,hours-per-week,22,0.44
252,hours-per-week,22,0.44
262,hours-per-week,22,0.44
263,hours-per-week,22,0.44
264,hours-per-week,22,0.44
267,hours-per-week,22,0.44
269,hours-per-week,22,0.44
271,hours-per-week,22,0.44
273,hours-per-week,22,0.44
274,hours-per-week,22,0.44
280,hours-per-week,22,0.44
295,hours-per-week,22,0.44
298,hours-per-week,22,0.44
301,hours-per-week,22,0.44
304,hours-per-week,22,0.44
314,hours-per-week,22,0.44
315,hours-per-week,22,0.44
320,hours-per-week,22,0.44
322,hours-per-week,22,0.44
323,hours-per-week,22,0.44
334,hours-per-week,22,0.44
340,hours-per-week,22,0.44
351,hours-per-week,22,0.44
352,hours-per-week,22,0.44
367,hours-per-week,22,0.44
374,hours-per-week,22,0.44
377,hours-per-week,22,0.44
385,hours-per-week,22,0.44
389,hours-per-week,22,0.44
392,hours-per-week,22,0.44
395,hours-per-week,22,0.44
400,hours-per-week,22,0.44
403,hours-per-week,22,0.44
411,hours-per-week,22,0.44
414,hours-per-week,22,0.44
421,hours-per-week,22,0.44
424,hours-per-week,22,0.44
430,hours-per-week,22,0.44
431,hours-per-week,22,0.44
441,hours-per-week,22,0.44
451,hours-per-week,22,0.44
455,hours-per-week,22,0.44
459,hours-per-week,22,0.44
461,hours-per-week,22,0.44
462,hours-per-week,22,0.44
468,hours-per-week,22,0.44
469,hours-per-week,22,0.44
474,hours-per-week,22,0.44
476,hours-per-week,22,0.44
481,hours-per-week,22,0.44
482,hours-per-week,22,0.44
487,hours-per-week,22,0.44
490,hours-per-week,22,0.44
493,hours-per-week,22,0.44
