tid,attr_name,rules_left,portion_left
0,native-country,2,0.5
11,native-country,2,0.5
17,native-country,2,0.5
54,native-country,2,0.5
66,native-country,2,0.5
75,native-country,2,0.5
91,native-country,2,0.5
101,native-country,2,0.5
105,native-country,2,0.5
131,native-country,2,0.5
136,native-country,2,0.5
146,native-country,2,0.5
158,native-country,2,0.5
170,native-country,2,0.5
185,native-country,2,0.5
190,native-country,2,0.5
206,native-country,2,0.5
211,native-country,2,0.5
227,native-country,2,0.5
250,native-country,2,0.5
253,native-country,2,0.5
268,native-country,2,0.5
296,native-country,2,0.5
298,native-country,2,0.5
310,native-country,2,0.5
332,native-country,2,0.5
334,native-country,2,0.5
339,native-country,2,0.5
342,native-country,2,0.5
358,native-country,2,0.5
359,native-country,2,0.5
361,native-country,2,0.5
372,native-country,2,0.5
389,native-country,2,0.5
422,native-country,2,0.5
433,native-country,2,0.5
443,native-country,2,0.5
456,native-country,2,0.5
461,native-country,2,0.5
464,native-country,2,0.5
468,native-country,2,0.5
21,race,2,0.5
37,race,2,0.5
43,race,2,0.5
68,race,2,0.5
94,race,2,0.5
105,race,2,0.5
108,race,2,0.5
114,race,2,0.5
124,race,2,0.5
129,race,2,0.5
153,race,2,0.5
171,race,2,0.5
174,race,2,0.5
175,race,2,0.5
178,race,2,0.5
189,race,2,0.5
191,race,2,0.5
196,race,2,0.5
204,race,2,0.5
211,race,2,0.5
212,race,2,0.5
213,race,2,0.5
244,race,2,0.5
253,race,2,0.5
255,race,2,0.5
259,race,2,0.5
268,race,2,0.5
281,race,2,0.5
286,race,2,0.5
287,race,2,0.5
291,race,2,0.5
303,race,2,0.5
305,race,2,0.5
339,race,2,0.5
347,race,2,0.5
353,race,2,0.5
357,race,2,0.5
372,race,2,0.5
392,race,2,0.5
415,race,2,0.5
419,race,2,0.5
422,race,2,0.5
443,race,2,0.5
456,race,2,0.5
458,race,2,0.5
461,race,2,0.5
462,race,2,0.5
467,race,2,0.5
473,race,2,0.5
487,race,2,0.5
492,race,2,0.5
494,race,2,0.5
5,workclass,3,0.75
19,workclass,3,0.75
30,workclass,3,0.75
33,workclass,3,0.75
40,workclass,3,0.75
45,workclass,3,0.75
48,workclass,3,0.75
53,workclass,3,0.75
57,workclass,3,0.75
61,workclass,3,0.75
67,workclass,3,0.75
70,workclass,3,0.75
76,workclass,3,0.75
77,workclass,3,0.75
79,workclass,3,0.75
81,workclass,3,0.75
102,workclass,3,0.75
108,workclass,3,0.75
111,workclass,3,0.75
112,workclass,3,0.75
119,workclass,3,0.75
122,workclass,3,0.75
128,workclass,3,0.75
140,workclass,3,0.75
144,workclass,3,0.75
148,workclass,3,0.75
149,workclass,3,0.75
161,workclass,3,0.75
163,workclass,3,0.75
179,workclass,3,0.75
196,workclass,3,0.75
202,workclass,3,0.75
208,workclass,3,0.75
219,workclass,3,0.75
227,workclass,3,0.75
230,workclass,3,0.75
233,workclass,3,0.75
240,workclass,3,0.75
247,workclass,3,0.75
252,workclass,3,0.75
257,workclass,3,0.75
258,workclass,3,0.75
259,workclass,3,0.75
265,workclass,3,0.75
266,workclass,3,0.75
268,workclass,3,0.75
282,workclass,3,0.75
286,workclass,3,0.75
292,workclass,3,0.75
295,workclass,3,0.75
298,workclass,3,0.75
299,workclass,3,0.75
305,workclass,3,0.75
308,workclass,3,0.75
309,workclass,3,0.75
322,workclass,3,0.75
331,workclass,3,0.75
344,workclass,3,0.75
348,workclass,3,0.75
357,workclass,3,0.75
389,workclass,3,0.75
390,workclass,3,0.75
406,workclass,3,0.75
413,workclass,3,0.75
419,workclass,3,0.75
420,workclass,3,0.75
421,workclass,3,0.75
430,workclass,3,0.75
431,workclass,3,0.75
432,workclass,3,0.75
433,workclass,3,0.75
434,workclass,3,0.75
436,workclass,3,0.75
438,workclass,3,0.75
443,workclass,3,0.75
444,workclass,3,0.75
449,workclass,3,0.75
450,workclass,3,0.75
453,workclass,3,0.75
459,workclass,3,0.75
460,workclass,3,0.75
461,workclass,3,0.75
480,workclass,3,0.75
486,workclass,3,0.75
487,workclass,3,0.75
494,workclass,3,0.75
499,workclass,3,0.75
